,nums,aks
0,43,0.817859066669674
1,45,3.210000189331671e-05
2,47,1.3186920000007376
3,49,7.800001185387373e-06
4,51,3.6966666812077165e-05
5,53,1.5289912333343334
6,55,3.700000039922694e-05
7,57,4.163333505857736e-05
8,59,1.6409565333354597
9,61,1.818061733332191
10,63,3.7999998312443495e-05
11,65,5.229999563501527e-05
12,67,2.3962242333363974
13,69,6.233333745816101e-05
14,71,2.6677716666648243
15,73,3.0048366999981226
16,75,4.259999938464413e-05
17,77,5.24333348342528e-05
18,79,5.258813699998427
19,81,8.799999098603925e-06
20,83,7.0742871333350195
21,85,7.683333630363147e-05
22,87,0.0003125333314528689
23,89,4.063884966667199
24,91,4.286666808184236e-05
25,93,3.676666528917849e-05
26,95,5.500000164223214e-05
27,97,8.694319599996865
28,99,5.363333427036802e-05
29,101,7.4707812333314605
30,103,7.643315233329001
31,105,4.406666751795759e-05
32,107,6.525918566665496
33,109,6.708930400001312
34,111,6.99333322700113e-05
35,113,11.39623610000126
36,115,4.846666706725955e-05
37,117,6.543333680989842e-05
38,119,5.5966670818937324e-05
39,121,4.266670051341255e-06
40,123,4.080000023047129e-05
41,125,6.466667400673032e-06
42,127,10.452090599996154
43,129,6.27999979769811e-05
44,131,12.479133999998643
45,133,5.2666665093662836e-05
46,135,4.660000073878715e-05
47,137,9.8255215666674
48,139,9.973921366666522
49,141,5.649999851205697e-05
50,143,5.9900000148142375e-05
51,145,5.903333173288653e-05
52,147,4.646666639018804e-05
53,149,14.701228966664834
54,151,14.952920666667827
55,153,6.3266668197078e-05
56,155,6.666666983316342e-05
57,157,16.27301509999961
58,159,5.376666861896714e-05
59,161,8.376666422312458e-05
60,163,24.655834466670058
61,165,5.403333246552696e-05
62,167,54.482013933336326
63,169,9.60000033956021e-06
64,171,5.8233330491930246e-05
65,173,18.73206390000026
66,175,5.353333350891868e-05
67,177,5.166666718044629e-05
68,179,19.648925000001327
69,181,21.65047996666787
70,183,5.569999727110068e-05
71,185,7.6299998909235e-05
72,187,6.880000000819564e-05
73,189,4.9366664219026766e-05
74,191,22.048848166664055
75,193,21.820798299998085
76,195,5.433332989923656e-05
77,197,28.645442533331032
78,199,35.21671053333072
79,201,0.00010606666425398241
80,203,5.3066668139460184e-05
81,205,8.67000004897515e-05
82,207,8.146666611234347e-05
83,209,8.760000249215712e-05
84,211,35.738099633332844
85,213,7.316666597034782e-05
86,215,5.313333046312133e-05
87,217,5.9900000148142375e-05
88,219,5.223333331135412e-05
89,221,8.55999969644472e-05
90,223,54.44995436666553
91,225,8.666669600643218e-06
92,227,89.08365383333391
93,229,35.06999473332932
94,231,6.946666690055281e-05
95,233,35.90992656666398
96,235,8.226666735329975e-05
97,237,6.196666314887504e-05
98,239,44.59716149999682
99,241,42.299286133333226
100,243,1.7699998958657186e-05
101,245,6.513333452555041e-05
102,247,6.603333652795602e-05
103,249,5.376666861896714e-05
104,251,41.24175853333145
105,253,8.083333280713607e-05
106,255,5.303333455231041e-05
107,257,35.25847223333161
108,259,0.00010119999933522195
109,261,6.566666706930846e-05
110,263,38.740159333334304
111,265,6.969999715996285e-05
112,267,7.01000002057602e-05
113,269,38.502406033333195
114,271,48.70300620000247
115,273,6.206666876096278e-05
116,275,5.7366666927312813e-05
117,277,42.54826389999653
118,279,6.536666478496045e-05
119,281,40.725434666669265
120,283,59.69177819999944
121,285,6.786666926927865e-05
122,287,9.47666703723371e-05
123,289,4.566667485050857e-06
124,291,5.84666656019787e-05
125,293,73.84634553333065
126,295,9.630000082931171e-05
127,297,6.679999933112413e-05
128,299,0.0001116666632393996
129,301,9.52333308911572e-05
130,303,8.643333179255326e-05
131,305,7.58333335397765e-05
132,307,50.62521909999972
133,309,7.999999797903001e-05
134,311,62.529794233336965
135,313,84.10508696666511
136,315,7.423333105786394e-05
137,317,52.0158768666685
138,319,9.10333328647539e-05
139,321,6.266666362838198e-05
140,323,8.380000266091277e-05
141,325,7.019999611657113e-05
142,327,6.336666895852734e-05
143,329,7.783333421684802e-05
144,331,56.16894656666651
145,333,9.73999995039776e-05
146,335,6.333333052073915e-05
147,337,56.917884933335394
148,339,0.00011463333309317629
149,341,9.626666724216193e-05
150,343,8.066665031947196e-06
151,345,0.00010426666995044798
152,347,81.26801560000361
153,349,97.85550059999998
154,351,0.00011083333326193194
155,353,74.22950070000176
156,355,7.006666661861043e-05
157,357,8.170000122239192e-05
158,359,76.09272049999952
159,361,8.633331162855029e-06
160,363,6.37333335665365e-05
161,365,6.580000141790758e-05
162,367,88.2219589666638
163,369,6.773333007004112e-05
164,371,0.00010496666557931651
165,373,133.11569640000138
166,375,9.099999927760412e-05
167,377,0.00011516667048757274
168,379,84.20290970000012
169,381,7.89333328915139e-05
170,383,110.97187266666636
171,385,0.00013273333509763083
172,387,8.836666529532522e-05
173,389,80.75920256666723
174,391,0.00010446666662270825
175,393,7.276666777518888e-05
176,395,7.816667008834581e-05
177,397,100.02678353333128
178,399,8.139999893804391e-05
179,401,74.04563820000233
180,403,0.00011716666631400585
181,405,6.266666362838198e-05
182,407,7.666666836788257e-05
183,409,130.0477594666639
184,411,7.60000014755254e-05
185,413,8.960000316922863e-05
186,415,6.820000029013802e-05
187,417,6.65333354845643e-05
188,419,109.17168166666913
189,421,91.63203263333708
190,423,0.00010036666450711589
191,425,8.779999916441739e-05
192,427,7.766666628109913e-05
193,429,6.716666878977169e-05
194,431,114.71910113332949
195,433,95.92954913333718
196,435,9.036666597239673e-05
197,437,7.699999938874195e-05
198,439,98.58306246666568
199,441,9.733334688159326e-06
