,nums,aks
0,43,0.8396409999986645
1,45,4.050000279676169e-05
2,47,1.3351963000022806
3,49,1.9499988411553204e-05
4,51,4.539999645203352e-05
5,53,1.542159000004176
6,55,5.160000000614673e-05
7,57,4.440000338945538e-05
8,59,1.6585797000007005
9,61,1.8317728999973042
10,63,5.6599994422867894e-05
11,65,5.470000905916095e-05
12,67,2.4111259000055725
13,69,7.520000508520752e-05
14,71,2.6902354000048945
15,73,3.0515195000043605
16,75,5.3800002206116915e-05
17,77,5.429999146144837e-05
18,79,5.292759100004332
19,81,1.5300000086426735e-05
20,83,7.101339100001496
21,85,7.220001134555787e-05
22,87,5.020000389777124e-05
23,89,4.0779337999993
24,91,5.699999746866524e-05
25,93,4.060000355821103e-05
26,95,5.7900004321709275e-05
27,97,8.766126699993038
28,99,6.819999543949962e-05
29,101,7.454142100003082
30,103,7.677081800007727
31,105,5.7900004321709275e-05
32,107,6.548263000004226
33,109,6.768831699999282
34,111,8.329999400302768e-05
35,113,11.483607399990433
36,115,5.970000347588211e-05
37,117,6.86999992467463e-05
38,119,5.7600002037361264e-05
39,121,4.7000066842883825e-06
40,123,0.0001109000004362315
41,125,1.819999306462705e-05
42,127,10.548152000003029
43,129,7.439999899361283e-05
44,131,12.539545999999973
45,133,6.690000009257346e-05
46,135,5.040000542066991e-05
47,137,9.873984100006055
48,139,10.013141099989298
49,141,6.9500005338341e-05
50,143,6.410000787582248e-05
51,145,6.370000483002514e-05
52,147,4.919999628327787e-05
53,149,14.773414399998728
54,151,14.98231289999967
55,153,7.54000066081062e-05
56,155,6.890000076964498e-05
57,157,16.292487500002608
58,159,6.10999995842576e-05
59,161,8.600000001024455e-05
60,163,24.649377800000366
61,165,6.269999721553177e-05
62,167,54.709773399998085
63,169,2.4599998141638935e-05
64,171,0.0001390999968862161
65,173,18.830003099996247
66,175,6.58999924780801e-05
67,177,5.4799995268695056e-05
68,179,19.664959000001545
69,181,21.670167400006903
70,183,6.770000618416816e-05
71,185,8.490000618621707e-05
72,187,7.159999222494662e-05
73,189,5.119999696034938e-05
74,191,22.15483120000863
75,193,21.81185959999857
76,195,7.570000889245421e-05
77,197,28.542112399998587
78,199,35.32808749999094
79,201,0.0001255999959539622
80,203,5.5800002883188426e-05
81,205,8.339999476447701e-05
82,207,8.250000246334821e-05
83,209,8.860000525601208e-05
84,211,35.70376180000312
85,213,8.879999222699553e-05
86,215,5.460000829771161e-05
87,217,6.059999577701092e-05
88,219,5.290000990498811e-05
89,221,8.629998774267733e-05
90,223,54.37685369999963
91,225,2.230000973213464e-05
92,227,89.28389980000793
93,229,35.04795990001003
94,231,8.009999874047935e-05
95,233,35.93191990000196
96,235,0.00010030000703409314
97,237,6.419999408535659e-05
98,239,44.59233220000169
99,241,42.56863589999557
100,243,3.0800001695752144e-05
101,245,7.2900002123788e-05
102,247,6.910000229254365e-05
103,249,5.469999450724572e-05
104,251,41.21428879999439
105,253,9.509999654255807e-05
106,255,5.370000144466758e-05
107,257,35.22610319999512
108,259,0.00011269999959040433
109,261,6.930000381544232e-05
110,263,38.90895620000083
111,265,8.829998841974884e-05
112,267,7.239999831654131e-05
113,269,38.46935610000219
114,271,48.58837189999758
115,273,7.510000432375818e-05
116,275,5.8999998145736754e-05
117,277,42.57295770000201
118,279,7.480000203941017e-05
119,281,40.720413700008066
120,283,59.36129329999676
121,285,8.689999231137335e-05
122,287,9.839999256655574e-05
123,289,4.899993655271828e-06
124,291,6.029999349266291e-05
125,293,73.26227120000112
126,295,0.00011760000779759139
127,297,6.770000618416816e-05
128,299,0.00011059999815188348
129,301,0.0002302999928360805
130,303,0.00019920000340789557
131,305,0.0001728000061120838
